head,relation,tail
中华人民共和国国家生态环境标准,指导或依据于,生态环境部
中华人民共和国国家生态环境标准,规定或指导,HJ 1172—2021
生态环境部,规定或指导,环境标准研究所
生态环境部,规定或指导,全国生态状况调查评估技术规范
环境标准研究所,规定或指导,HJ 1172—2021
HJ 1172—2021,规定或指导,生态系统质量评估
中华人民共和国环境保护法,指导或依据于,全国生态状况定期遥感调查评估方案
全国生态状况定期遥感调查评估方案,规定或指导,全国生态状况调查评估技术规范——生态系统遥感解译与野外核查
全国生态状况定期遥感调查评估方案,规定或指导,生态系统质量评估
全国生态状况调查评估技术规范——生态系统遥感解译与野外核查,规定或指导,生态系统质量评估
全国生态状况调查评估技术规范,规定或指导,HJ 1166—2021
全国生态状况调查评估技术规范,规定或指导,HJ 1167—2021
全国生态状况调查评估技术规范,规定或指导,HJ 1168—2021
全国生态状况调查评估技术规范,规定或指导,HJ 1169—2021
全国生态状况调查评估技术规范,规定或指导,HJ 1170—2021
全国生态状况调查评估技术规范,包含,生态系统遥感解译与野外核查
全国生态状况调查评估技术规范,规定或指导,森林生态系统野外观测
全国生态状况调查评估技术规范,规定或指导,草地生态系统野外观测
全国生态状况调查评估技术规范,规定或指导,湿地生态系统野外观测
全国生态状况调查评估技术规范,规定或指导,荒漠生态系统野外观测
全国生态状况调查评估技术规范,规定或指导,生态系统格局评估
生态环境部自然生态保护司,规定或指导,全国生态状况调查评估技术规范
生态环境部自然生态保护司,规定或指导,HJ 1169—2021
生态环境部自然生态保护司,规定或指导,HJ 1170—2021
生态环境部自然生态保护司,规定或指导,HJ 1171—2021
生态环境部自然生态保护司,规定或指导,HJ 1173—2021
生态环境部自然生态保护司,规定或指导,HJ 1174—2021
生态环境部自然生态保护司,规定或指导,HJ 1175—2021
生态环境部自然生态保护司,规定或指导,HJ 1176—2021
生态系统质量,规定或指导,叶面积指数
生态系统质量,规定或指导,总初级生产力
生态环境状况评价技术规范,规定或指导,HJ 192
生态系统质量评估,规定或指导,遥感生态参数
生态系统质量评估,规定或指导,生态功能分区
遥感生态参数,规定或指导,生态功能分区
遥感生态参数,规定或指导,数据预处理
遥感生态参数,构成或依赖于,植被覆盖度相对密度
遥感生态参数,构成或依赖于,叶面积指数相对密度
遥感生态参数,构成或依赖于,总初级生产力相对密度
生态功能分区,规定或指导,数据预处理
生态功能分区,构成或依赖于,植被覆盖度相对密度
生态功能分区,构成或依赖于,叶面积指数相对密度
生态功能分区,构成或依赖于,总初级生产力相对密度
植被覆盖度相对密度,规定或指导,生态系统质量
植被覆盖度相对密度,构成或依赖于,植被覆盖度
叶面积指数相对密度,规定或指导,生态系统质量
叶面积指数相对密度,构成或依赖于,叶面积指数
总初级生产力相对密度,规定或指导,生态系统质量
总初级生产力相对密度,用于估算,总初级生产力
生态系统质量,规定或指导,生态系统质量分级
生态系统质量评估,规定或指导,全国生态功能区划
生态系统质量评估,规定或指导,生态功能区
生态系统质量评估,规定或指导,植被覆盖度
生态系统质量评估,规定或指导,叶面积指数
生态系统质量评估,规定或指导,总初级生产力
生态系统质量评估,规定或指导,森林
生态系统质量评估,规定或指导,灌丛
生态系统质量评估,规定或指导,草地
生态系统质量评估,规定或指导,农田
系统质量,构成,植被覆盖度
系统质量,构成,叶面积指数
系统质量,构成,总初级生产力
系统质量,规定或指导,生态系统质量分级
植被覆盖度,规定或指导,叶面积指数
植被覆盖度,规定或指导,总初级生产力
叶面积指数,规定或指导,总初级生产力
灌丛生态系统,属于,阔叶灌丛
灌丛生态系统,属于,针叶灌丛
灌丛生态系统,属于,稀疏灌丛
草地生态系统,属于,草甸
草地生态系统,属于,草原
草地生态系统,属于,草丛
草地生态系统,属于,稀疏草地
湿地生态系统,属于,沼泽
湿地生态系统,属于,湖泊
湿地生态系统,属于,河流
农田生态系统,属于,耕地
农田生态系统,属于,园地
城镇生态系统,属于,居住地
城镇生态系统,属于,城市绿地
城镇生态系统,属于,工矿交通
荒漠生态系统,属于,沙漠
线性像元分解法,用于计算,像元二分模型
像元二分模型,用于计算,植被覆盖度
神经网络,应用于,遥感影像分类
神经网络,应用于,辐射传输模型
决策树,用于遥感估算,遥感影像分类
决策树,应用于,辐射传输模型
