,id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
0,7b9f5be8-bdae-4d33-be7e-7df03eee1c8d,0,"""中华人民共和国国家生态环境标准""","""生态环境部""",中华人民共和国国家生态环境标准是由生态环境部发布并实施的一系列环境规范。作为中国环境保护领域的权威机构，生态环境部负责制定、颁布和执行这些国家标准，以确保环境保护工作的规范化和标准化。两份描述均明确指出生态环境部在该标准体系中的核心作用，即同时承担发布和实施双重职能，表述内容一致且互为补充，共同构成了对该标准制定体系的完整说明。,18.0,14,"['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17'
 '11138cf5eb76ca54bcf11c9bccaba2afc3f1249e1be589a494d428f561ee4fc7c4023d8c8f713548e4f6c0916846e42a0b271bab333cf6594656873a23bbb389']"
1,9729f716-0e06-4f5e-a872-d4f5fb4471c3,1,"""中华人民共和国国家生态环境标准""","""HJ 1172—2021""","""HJ 1172—2021是中华人民共和国国家生态环境标准的一部分，专门规范生态系统质量评估。""",1.0,8,['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17']
2,c544ac23-2edf-4432-9383-86a8d8efb313,2,"""生态环境部""","""环境标准研究所""","""生态环境部与环境标准研究所合作，后者负责审校和排版标准文本。""",8.0,12,['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17']
3,b7565434-1e40-4bd8-9f9f-de36311d8699,3,"""生态环境部""","""全国生态状况调查评估技术规范""",生态环境部作为国家生态环境保护的行政主管部门，负责制定并发布了《全国生态状况调查评估技术规范》。该技术规范的发布旨在为全国范围内的生态状况调查与评估工作提供统一的技术指导和标准依据，确保调查评估工作的科学性和规范性。两项描述内容一致，均强调了生态环境部在该技术规范制定与发布过程中的主导作用。,10.0,35,"['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17'
 'aa3aea36a9e7b7b29d0121e8226848ae2c79e6420a4e900710645b64b34be3ee9c5d7709abf75f27780c9940c32d64ec1c479c3b2ef8dbf81809ffc479bdddca']"
4,ce2915ec-4b6b-4b65-9a5a-54dd0c93a623,4,"""环境标准研究所""","""HJ 1172—2021""","""环境标准研究所参与审校和排版HJ 1172—2021标准文本。""",1.0,6,['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17']
5,19c268ad-1076-4fa0-9513-b1f221765c52,5,"""HJ 1172—2021""","""生态系统质量评估""","""HJ 1172—2021标准具体规定了生态系统质量评估的技术流程和方法。""",10.0,19,['8e4ac8485bf3b832b3ed9fd78873b58b14d20b38bf9ebcc2429940cb7b11275de40468f857cfd27b9bb5fe83702a27cabde9de3cfd21016c3b8660857f48df17']
6,46c1f79f-6453-4dae-821b-fb7648fcb9b1,6,"""中华人民共和国环境保护法""","""全国生态状况定期遥感调查评估方案""",《中华人民共和国环境保护法》是中国环境保护领域的基础性法律，为生态保护与污染防治提供了法律框架。作为其配套实施文件，《全国生态状况定期遥感调查评估方案》严格依据该法及相关法律法规制定，旨在通过定期遥感监测和评估体系，具体落实环境保护法的法定要求。两份文件呈现明确的从属关系：环境保护法确立基本原则与法律义务，评估方案则通过技术手段（如遥感调查）和标准化流程将其转化为可操作的生态监管机制。描述中不存在实质矛盾，均强调评估方案的法律依据性（直接援引环境保护法）与功能定位（作为贯彻该法的具体工具），共同构成中国生态环境监管的法律-技术协同体系。,27.0,10,"['0290faec8c84536aecaf0c3b75df845068680594745d4998f81eb60e96d643fbf3ff72bf6c9391867f9c053683f267b1c49e490e1726a92c93a1072331e8327a'
 'bac5fa73a474486b1c5f3e5f58004c2c2b53113abd171f89fc4815e8cc9b0f63ebb7d40ee5842d6adc551394f1b4ef06eae4a01aa4fdf6dfea28bbadf5bb6117']"
7,a088ac66-9a67-45e1-8200-e6579b44624e,7,"""全国生态状况定期遥感调查评估方案""","""全国生态状况调查评估技术规范——生态系统遥感解译与野外核查""","""全国生态状况调查评估技术规范——生态系统遥感解译与野外核查是系列标准之一，与全国生态状况定期遥感调查评估方案同属生态状况调查评估技术规范。""",1.0,11,['0290faec8c84536aecaf0c3b75df845068680594745d4998f81eb60e96d643fbf3ff72bf6c9391867f9c053683f267b1c49e490e1726a92c93a1072331e8327a']
8,148aa9ba-e4e0-4cec-9b73-190370dbd200,8,"""全国生态状况定期遥感调查评估方案""","""生态系统质量评估""","""评估方案为本标准中的生态系统质量评估工作提供政策依据。""",8.0,24,['0290faec8c84536aecaf0c3b75df845068680594745d4998f81eb60e96d643fbf3ff72bf6c9391867f9c053683f267b1c49e490e1726a92c93a1072331e8327a']
9,d2bbad13-6bb3-4659-9908-1a1667435696,9,"""全国生态状况调查评估技术规范——生态系统遥感解译与野外核查""","""生态系统质量评估""","""该技术规范为生态系统质量评估中的遥感解译环节提供标准支持。""",1.0,17,['0290faec8c84536aecaf0c3b75df845068680594745d4998f81eb60e96d643fbf3ff72bf6c9391867f9c053683f267b1c49e490e1726a92c93a1072331e8327a']
10,378ed4a5-c676-41cb-bc65-acfd568dbd84,10,"""全国生态状况调查评估技术规范""","""HJ 1166—2021""",《全国生态状况调查评估技术规范》是由中国生态环境部发布的技术标准体系，其编号为HJ 1166—2021。该规范作为系列技术标准的重要组成部分，专门针对生态系统遥感解译与野外核查工作制定了详细的技术要求和操作指南。其中，HJ 1166—2021标准被明确纳入该技术规范体系，为生态状况调查评估提供了统一的遥感数据解译方法和实地核查技术框架，确保全国范围内生态监测数据的科学性和可比性。通过整合遥感技术与地面验证手段，该标准全面支撑了生态系统现状评估、动态监测及保护修复等工作的标准化实施。,18.0,27,"['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb'
 'ce42c61043d04e8737bd8299c46faf658e114ebaf43b4188b9de8976606945d7f47b78247b19d71ba63c1fe61d632ac3f98a03fbf3f30307367e569572845e40']"
11,d1618330-7510-416d-8250-c304b788e8c5,11,"""全国生态状况调查评估技术规范""","""HJ 1167—2021""",《全国生态状况调查评估技术规范》是由中国生态环境部发布的国家环境保护标准，其编号为HJ 1167—2021。该技术规范是生态状况调查评估领域的重要指导文件，其中包含了对森林生态系统野外观测的具体技术要求和操作标准，属于技术规范系列中的专项组成部分。通过整合调查方法、评估指标和观测流程，该标准为全国范围内的生态状况系统性调查提供了统一的技术框架。,18.0,28,"['cbba5e66deaf270bcb547e7818e16120ef1978533d0aeb2ec49f3888e717af1190f8cf374ac106c444bbe800a144be7a556922de6ee4c18663365272625cd2cb'
 'ce42c61043d04e8737bd8299c46faf658e114ebaf43b4188b9de8976606945d7f47b78247b19d71ba63c1fe61d632ac3f98a03fbf3f30307367e569572845e40']"
